Open,High,Low,Close,Volume
105.14200592041016,106.03050231933594,104.21125793457031,105.94000244140625,502552
105.93299865722656,106.47149658203125,105.6729965209961,106.00825500488281,176446
106.0050048828125,106.0050048828125,104.69999694824219,104.77750396728516,247833
104.79449462890625,104.84749603271484,104.2824935913086,104.55949401855469,226270
104.6135025024414,105.8915023803711,104.35050201416016,105.84950256347656,226662
105.875,106.54469299316406,105.69474792480469,106.01499938964844,188794
106.05999755859375,106.15899658203125,105.42500305175781,105.89599609375,177519
106.05049896240234,108.0,105.48799896240234,107.44950103759766,407285
107.55450439453125,108.20439147949219,107.23983001708984,107.84000396728516,162358
107.8499984741211,108.65550231933594,107.73050689697266,108.63399505615234,121994
108.68000793457031,108.95524597167969,108.42424011230469,108.42424011230469,125366
108.5,108.8550033569336,108.26300048828125,108.7564926147461,130271
108.74462890625,108.79850006103516,107.91800689697266,108.17900085449219,162039
108.239501953125,108.80799865722656,108.10250091552734,108.22349548339844,220774
109.78849792480469,111.65870666503906,109.55000305175781,111.36650085449219,367130
111.41899108886719,112.1469955444336,111.16500091552734,112.02549743652344,166425
112.02549743652344,112.5,111.92649841308594,112.29750061035156,153151
112.281494140625,112.4000015258789,111.91551208496094,112.30081939697266,119838
112.32099914550781,112.33149719238281,111.7125015258789,112.17049407958984,101805
112.18900299072266,112.70799255371094,112.1865005493164,112.6155014038086,134701
112.61750793457031,112.86800384521484,112.07950592041016,112.79899597167969,246037
113.0790023803711,114.11700439453125,112.57249450683594,113.29703521728516,400610
113.30424499511719,114.43443298339844,113.21199798583984,113.8895034790039,239037
113.79300689697266,115.54750061035156,113.63249206542969,115.4800033569336,201226
115.52049255371094,115.99949645996094,114.92549896240234,115.02950286865234,160405
115.07999420166016,116.4334945678711,115.00250244140625,115.90400695800781,138338
115.8907241821289,115.97810363769531,114.6604995727539,115.57749938964844,201268
115.5947494506836,115.99200439453125,113.92350006103516,113.98050689697266,427596
114.9314956665039,117.39900207519531,114.82749938964844,115.13199615478516,434496
115.04649353027344,115.37449645996094,114.20999908447266,114.5364990234375,198023
114.47950744628906,114.70849609375,113.67149353027344,113.90400695800781,145609
113.85899353027344,114.39949798583984,113.55049896240234,114.02650451660156,114263
114.09599304199219,115.28399658203125,113.87199401855469,115.19032287597656,128865
115.25999450683594,115.27950286865234,114.5009994506836,114.7022476196289,115880
114.55049896240234,115.02925109863281,113.9844970703125,114.10749816894531,155573
114.18800354003906,115.50450134277344,113.30799865722656,114.58299255371094,300639
114.58349609375,116.07125091552734,114.5425033569336,115.83525085449219,151573
115.7770004272461,116.8550033569336,115.44050598144531,116.8550033569336,133733
116.99849700927734,117.88299560546875,116.885498046875,117.3604965209961,167488
117.4209976196289,117.8594970703125,117.36474609375,117.65074157714844,108155
117.5999984741211,117.78700256347656,117.13999938964844,117.23725891113281,164870
117.21199798583984,117.89799499511719,117.20649719238281,117.6935043334961,181357
115.6449966430664,116.364501953125,114.78653717041016,115.13850402832031,320644
115.15350341796875,115.39505767822266,113.781005859375,113.8905029296875,192643
113.906005859375,114.40450286865234,113.906005859375,114.30899810791016,119552
114.3322525024414,114.94474792480469,114.19850158691406,114.38249206542969,123205
114.3604965209961,114.72249603271484,114.08475494384766,114.72249603271484,72232
114.6917495727539,114.6917495727539,114.0584945678711,114.23500061035156,107801
114.19649505615234,114.72550201416016,114.10600280761719,114.5459976196289,165453
116.74250793457031,119.39847564697266,116.56724548339844,118.85099792480469,353196
118.73899841308594,119.17449951171875,117.26350402832031,117.6935043334961,163320
117.75999450683594,118.2614974975586,116.70149993896484,116.74849700927734,130675
116.70699310302734,117.44925689697266,116.5282974243164,116.99800109863281,101686
117.04949951171875,118.08399963378906,116.95799255371094,117.32853698730469,104334
117.3084945678711,117.4949951171875,116.62596130371094,116.81199645996094,101665
116.7439956665039,117.13824462890625,116.53499603271484,117.0,121241
115.64799499511719,116.78299713134766,115.12550354003906,116.72762298583984,334151
116.72725677490234,117.74861907958984,116.6935043334961,116.89649963378906,160501
116.80699157714844,116.83299255371094,116.0,116.1395034790039,135832
116.1405029296875,116.89024353027344,116.00199890136719,116.87449645996094,140130
116.89549255371094,117.4749984741211,116.72049713134766,117.23675537109375,118178
117.24955749511719,117.39849853515625,116.8479995727539,117.0094985961914,114897
116.9334945678711,117.43424987792969,116.9334945678711,117.1810073852539,178117
116.87650299072266,118.12850189208984,116.6967544555664,117.93824768066406,256954
117.93824768066406,118.64599609375,117.3483657836914,118.54300689697266,180626
118.48924255371094,118.59124755859375,117.39500427246094,117.63399505615234,94725
117.63399505615234,117.63399505615234,116.83900451660156,117.36702728271484,137592
117.2249984741211,117.656005859375,116.79930114746094,117.40400695800781,96417
117.36700439453125,117.75250244140625,117.14509582519531,117.58125305175781,113708
117.66450500488281,117.9280014038086,117.11600494384766,117.25749206542969,118019
116.34150695800781,117.92549896240234,116.34150695800781,117.71500396728516,229991
117.7762451171875,117.94999694824219,117.0260009765625,117.74150085449219,161638
117.71150207519531,118.3499984741211,117.5,117.9530029296875,132910
118.01700592041016,118.25,117.55024719238281,117.59749603271484,75329
117.48750305175781,117.48750305175781,116.5341567993164,116.80024719238281,103539
116.75050354003906,116.79300689697266,115.8060073852539,115.8064956665039,125295
115.71299743652344,115.72624206542969,114.86700439453125,114.87650299072266,182513
112.78125,113.49699401855469,110.86100006103516,110.9489974975586,429294
110.94300842285156,111.6572494506836,110.94300842285156,111.1259994506836,175262
111.1550064086914,111.5,110.94100189208984,111.4229965209961,106516
111.42350769042969,111.99800109863281,111.38325500488281,111.85624694824219,159834
