Open,High,Low,Close,Volume
162.0,167.0,160.0,166.86810302734375,17913151
166.8699951171875,167.5500030517578,164.2100067138672,165.60000610351562,9399085
165.60000610351562,167.8800048828125,164.51820373535156,166.47999572753906,7959710
166.47000122070312,167.35000610351562,165.6999969482422,166.4759979248047,5786075
166.4300994873047,169.33999633789062,165.22000122070312,169.14120483398438,8672466
169.1699981689453,171.10989379882812,168.13999938964844,169.55999755859375,9438083
169.55999755859375,170.0500030517578,167.7100067138672,169.8350067138672,7498871
160.36000061035156,174.10000610351562,160.22000122070312,172.99000549316406,34220753
172.9600067138672,176.9398956298828,171.86000061035156,175.36000061035156,14184403
175.34500122070312,179.9499969482422,174.8000946044922,179.35000610351562,12367925
179.35000610351562,179.6699981689453,178.1199951171875,178.89999389648438,11008794
178.92999267578125,180.9199981689453,178.82000732421875,179.8000946044922,8740609
179.8300018310547,180.1999969482422,177.5,177.67999267578125,8034447
177.6699981689453,179.7899932861328,177.3800048828125,178.44000244140625,6717141
181.86000061035156,186.8000030517578,181.0,185.00999450683594,24940068
185.0399932861328,186.47000122070312,183.6300048828125,184.47250366210938,10514720
184.47999572753906,186.17999267578125,184.4499969482422,185.24989318847656,6043219
185.24989318847656,186.49000549316406,184.6300048828125,185.9600067138672,5513206
185.99000549316406,187.08999633789062,185.30999755859375,186.9759979248047,6560363
186.96499633789062,188.80999755859375,186.5800018310547,188.40499877929688,8466864
188.41000366210938,188.67999267578125,186.8800048828125,188.35000610351562,7456493
191.0,191.17999267578125,183.5,187.25,16547572
187.13499450683594,189.94000244140625,186.55999755859375,187.00999450683594,9413933
187.02000427246094,190.40499877929688,186.2899932861328,189.39939880371094,7592958
189.41000366210938,190.74200439453125,187.69000244140625,188.0,5608086
188.02999877929688,189.4499969482422,187.57000732421875,187.9499969482422,5014824
187.99000549316406,188.13999938964844,184.85000610351562,187.44000244140625,7045154
187.44500732421875,188.44000244140625,186.3800048828125,186.7100067138672,5045507
187.89500427246094,190.53179931640625,185.69000244140625,185.84500122070312,14388688
185.82000732421875,188.51280212402344,184.35000610351562,185.60989379882812,8998509
185.6300048828125,185.85000610351562,181.22000122070312,182.44000244140625,7445738
182.44000244140625,184.44000244140625,181.9949951171875,183.418701171875,5436239
183.4600067138672,185.5399932861328,182.72000122070312,185.32000732421875,5526924
185.33999633789062,185.67999267578125,183.5500030517578,184.94000244140625,6141830
184.9199981689453,185.60000610351562,182.94000244140625,182.99000549316406,4075033
183.125,191.4499969482422,181.97999572753906,189.1540069580078,19658511
189.1699981689453,194.13999938964844,188.77999877929688,193.8000030517578,10168599
193.8300018310547,195.0697021484375,192.99000549316406,194.4698944091797,7683100
194.47999572753906,196.0,194.1999969482422,195.4387969970703,6613188
195.4600067138672,196.19000244140625,194.9499969482422,195.38499450683594,5452625
195.38999938964844,195.89990234375,193.6324005126953,194.0399932861328,7101031
194.0500030517578,196.02999877929688,193.89089965820312,195.92999267578125,5032850
190.0,193.322998046875,189.2299041748047,189.63499450683594,16168150
189.6300048828125,189.9499969482422,185.21560668945312,186.3798065185547,10451031
186.39999389648438,188.72999572753906,186.25,188.4600067138672,6649387
188.4499969482422,189.99000549316406,187.8699951171875,188.47390747070312,6154327
188.39999389648438,188.77999877929688,186.8000030517578,188.73049926757812,4946330
188.72000122070312,188.74099731445312,186.57000732421875,187.78500366210938,5908391
187.76829528808594,187.86990356445312,186.60000610351562,187.17999267578125,4595023
191.38999938964844,193.3699951171875,188.57000732421875,192.07000732421875,11498503
192.02999877929688,192.47999572753906,187.6699981689453,188.44219970703125,6414861
188.43600463867188,189.22999572753906,186.3300018310547,186.4600067138672,5397043
186.45030212402344,188.29989624023438,185.64199829101562,187.88999938964844,4979621
187.89559936523438,190.17999267578125,187.69000244140625,188.0207061767578,4571661
188.0,188.3300018310547,186.4600067138672,187.11129760742188,4308433
187.08009338378906,188.24000549316406,186.80999755859375,187.89999389648438,3258496
184.0,187.44000244140625,181.8800048828125,186.77000427246094,10230160
186.77999877929688,189.3300018310547,186.13999938964844,186.7899932861328,6695179
186.7993927001953,187.25999450683594,185.5,186.52000427246094,4179232
186.5,188.62989807128906,185.9600067138672,188.3300018310547,3454059
188.33389282226562,188.85000610351562,187.52000427246094,188.5500030517578,3296765
188.5500030517578,188.69000244140625,187.19000244140625,188.38999938964844,3741166
188.3800048828125,190.0,188.22999572753906,189.24000549316406,4601866
187.99000549316406,191.8000030517578,186.50999450683594,190.05999755859375,10192135
190.05999755859375,191.3000030517578,188.33009338378906,189.523193359375,5116584
189.47000122070312,189.75,186.74769592285156,187.2823944091797,3991696
187.25999450683594,187.3300018310547,185.35000610351562,187.00999450683594,4420706
187.00999450683594,187.8699951171875,185.85000610351562,186.43679809570312,3974925
186.4600067138672,187.07000732421875,185.47999572753906,186.54539489746094,3787788
186.5500030517578,187.1999969482422,185.88999938964844,186.47999572753906,3147227
186.0,188.83999633789062,184.35000610351562,188.75999450683594,11278755
188.85000610351562,189.3300018310547,185.14999389648438,185.5399932861328,5494125
185.5500030517578,187.07000732421875,185.36000061035156,186.15420532226562,3594849
186.1199951171875,187.0792999267578,185.72999572753906,185.87539672851562,3368404
185.85000610351562,185.85000610351562,184.27999877929688,185.2100067138672,3681991
185.24000549316406,185.2711944580078,181.9600067138672,182.0800018310547,5090592
182.08999633789062,182.3300018310547,180.41000366210938,180.42999267578125,4630385
176.0,176.97000122070312,170.17999267578125,171.23060607910156,12918447
171.21339416503906,172.27999877929688,168.8300018310547,169.07000732421875,7119745
